name	locus_tag	ko_category
VC1124	VC1124	None
VC1125	VC1125	None
VC1126	VC1126	KO-a1.a4.a1:KO-a1.a5.a1
VC1127	VC1127	KO-a8.a4.a1
mnmA	VC1128	KO-a2.a3.a5:KO-a7.a2.a7
VC1129	VC1129	KO-a1.a4.a1
VC1130	VC1130	KO-a7.a2.b4:KO-a7.a2.b5
IGR2/lys riboswitch	Vcr046	None
VC1131	VC1131	KO-a7.a3.a1:KO-a7.a3.b8
hisG	VC1132	KO-a1.a5.b0
hisD	VC1133	KO-a1.a5.b0
VC1134	VC1134	KO-a1.a5.b0:KO-a1.a5.b1:KO-a1.a5.b2:KO-a1.a5.b4:KO-a1.b0.c3:KO-a7.a1.b1
VC1135	VC1135	KO-a1.a5.b0
hisH	VC1136	KO-a1.a5.b0
VC1137	VC1137	KO-a1.a5.b0
VC1138	VC1138	KO-a1.a5.b0
VC1139	VC1139	KO-a1.a5.b0
VC1140	VC1140	KO-a7.a2.a6
VC1141	VC1141	KO-a1.a1.a2:KO-a1.a6.a7
VC1142	VC1142	KO-a8.a2.a1
clpS	VC1143	KO-a8.a2.a3
clpA	VC1144	KO-a7.a2.a9
VC1145	VC1145	KO-a8.a3.a1
grxA	VC1146	KO-a7.a2.a9
VC1147	VC1147	None
VC1148	VC1148	KO-a7.a2.a1
VC1149	VC1149	KO-a1.a8.a5
VC1150	VC1150	None
VC1151	VC1151	None
VC1152	VC1152	None
VC1153	VC1153	KO-a8.a3.a3
VC1154	VC1154	None
VC1155	VC1155	None
VC1156	VC1156	None
VC1158	VC1158	None
VC1159	VC1159	KO-a1.a2.a6:KO-a1.a5.a2:KO-a1.a5.a3:KO-a1.a8.a3:KO-a7.a1.b1
VC1160	VC1160	None
VC1161	VC1161	None
VC1162	VC1162	None
VC1163	VC1163	KO-a7.a2.a7
VC1164	VC1164	KO-a7.a2.a7
VC1165	VC1165	None
aspS	VC1166	KO-a2.a2.a2:KO-a7.a1.b1:KO-a7.a2.a7:KO-a7.a2.b6
VC1167	VC1167	KO-a1.a4.a2
VC1168	VC1168	None
trpA	VC1169	KO-a1.a5.a2:KO-a1.a5.b4
VC1170	VC1170	KO-a1.a5.a2:KO-a1.a5.b4
VC1171	VC1171	KO-a1.a5.b4
trpD	VC1172	KO-a1.a5.b4
VC1173	VC1173	KO-a1.a5.b4:KO-a1.b0.c5:KO-a4.a4.a1
VC1174	VC1174	KO-a1.a5.b4:KO-a1.b0.c5:KO-a4.a4.a1
Trp leader	Trp leader	None
VC1177	VC1177	KO-a8.a1.a1
VC1178	VC1178	None
VC1179	VC1179	KO-a7.a2.a6
VC1180	VC1180	KO-a3.a1.a1:KO-a7.a3.a1
VC1181	VC1181	KO-a3.a1.a1:KO-a7.a3.a1
VC1182	VC1182	KO-a1.a6.a4
VC1183	VC1183	None
VC1184	VC1184	None
VC1185	VC1185	None
VC1186	VC1186	KO-a8.a4.a1
VC1187	VC1187	None
VC1188	VC1188	KO-a1.a1.b0:KO-a3.a2.a1
VC1189	VC1189	None
hemH	VC1190	KO-a1.a4.a1
VC1191	VC1191	None
VC1193	VC1193	None
VC1194	VC1194	KO-a8.a4.a2
VC1195	VC1195	None
VC1196	VC1196	None
VC1197	VC1197	None
VC1198	VC1198	None
VC1199	VC1199	None
VC1200	VC1200	None
VC1201	VC1201	None
hutH	VC1202	KO-a1.a5.b0
VC1203	VC1203	KO-a1.a5.b0
VC1204	VC1204	KO-a1.a5.b0
VC1205	VC1205	KO-a1.a5.b0
VC1206	VC1206	KO-a7.a2.a1
VC1207	VC1207	None
VC1208	VC1208	KO-a8.a4.a2
VC1209	VC1209	KO-a7.a2.a8
VC1210	VC1210	None
VC1211	VC1211	None
VC1212	VC1212	KO-a7.a2.b5
VC1213	VC1213	KO-a3.a2.a1:KO-a4.a4.a2:KO-a7.a3.a4
uvrC	VC1214	KO-a2.a4.a3:KO-a7.a2.b5
VC1215	VC1215	KO-a1.a3.b0
VC1216	VC1216	None
VC1217	VC1217	KO-a8.a1.a1
pheS	VC1219	KO-a2.a2.a2:KO-a7.a1.b1:KO-a7.a2.a7
pheT	VC1220	KO-a2.a2.a2:KO-a7.a1.b1:KO-a7.a2.a7
ihfA	VC1222	KO-a7.a2.b3:KO-a7.a2.b4:KO-a7.a2.b5
VC1223	VC1223	None
VC1224	VC1224	None
VC1226	VC1226	None
VC1227	VC1227	None
purT	VC1228	KO-a1.a4.a1
VC1229	VC1229	KO-a7.a3.a1
VC1231	VC1231	KO-a1.a4.a2
VC1232	VC1232	None
VC1233	VC1233	KO-a7.a3.a1
sbcB	VC1234	KO-a2.a4.a4:KO-a7.a2.b5
VC1235	VC1235	KO-a8.a4.a2
VC1236	VC1236	KO-a8.a1.a1
cobT	VC1237	KO-a1.a8.b1
cobS	VC1238	KO-a1.a8.b1
cobU	VC1239	KO-a1.a8.b1
VC1240	VC1240	KO-a1.a8.b1
VC1242	VC1242	KO-a1.a5.a9
VC1244	VC1244	KO-a3.a1.a1:KO-a7.a3.a1
VC1245	VC1245	KO-a3.a1.a1:KO-a7.a3.a1
VC1246	VC1246	None
VC1247	VC1247	None
VC1248	VC1248	KO-a3.a2.a1:KO-a4.a5.a1:KO-a7.a3.a5
VC1249	VC1249	None
VC1250	VC1250	None
VC1252	VC1252	None
VC1253	VC1253	None
VC1254	VC1254	KO-a8.a1.a3
nrdB	VC1255	KO-a1.a4.a1:KO-a1.a4.a2:KO-a7.a2.b5
VC1256	VC1256	KO-a1.a4.a1:KO-a1.a4.a2:KO-a7.a2.b5
VC1257	VC1257	KO-a1.a8.b2
VC1258	VC1258	KO-a7.a2.b3:KO-a7.a2.b5
VC1259	VC1259	KO-a8.a4.a1
VC1260	VC1260	None
VC1261	VC1261	KO-a7.a3.a1
VC1262	VC1262	None
ribA	VC1263	KO-a1.a8.a2:KO-a1.a8.a8:KO-a4.a4.a1
VC1264	VC1264	KO-a8.a3.a6
VC1265	VC1265	None
VC1266	VC1266	KO-a8.a4.a2
VC1267	VC1267	KO-a8.a4.a2
VC1268	VC1268	KO-a7.a1.a4:KO-a7.a1.a7
VC1269	VC1269	None
VC1270	VC1270	KO-a1.a1.b0
VC1271	VC1271	None
VC1272	VC1272	None
VC1273	VC1273	None
VC1274	VC1274	None
VC1275	VC1275	None
VC1276	VC1276	KO-a7.a1.a2:KO-a7.a3.a4
VC1277	VC1277	KO-a3.a2.a1:KO-a7.a3.a4
VC1278	VC1278	None
VC1279	VC1279	KO-a8.a3.a1
VC1280	VC1280	KO-a8.a1.a1
VC1281	VC1281	KO-a1.a1.a8:KO-a3.a1.a2:KO-a7.a3.a1
VC1282	VC1282	KO-a1.a1.a8:KO-a3.a1.a2:KO-a7.a3.a1
VC1283	VC1283	KO-a1.a1.a8:KO-a3.a1.a2:KO-a7.a3.a1
VC1284	VC1284	KO-a1.a1.a1:KO-a1.a1.a8
VC1285	VC1285	KO-a8.a1.a1
VC1286	VC1286	None
VC1287	VC1287	KO-a7.a1.a5
mdoG	VC1288	KO-a8.a3.a6
VC1289	VC1289	KO-a3.a2.a1:KO-a4.a5.a1:KO-a7.a3.a5
VC1290	VC1290	KO-a2.a4.a1:KO-a2.a4.a4:KO-a2.a4.a5:KO-a7.a2.b3:KO-a7.a2.b5
VC1291	VC1291	KO-a8.a3.a4
VC1293	VC1293	KO-a1.a5.a3:KO-a1.a5.b1:KO-a1.a5.b2:KO-a1.a5.b4:KO-a1.b0.c3:KO-a7.a1.b1
VC1294	VC1294	None
VC1295	VC1295	None
thi riboswitch	thi riboswitch	None
VC1296	VC1296	KO-a1.a8.a1
asnC	VC1297	KO-a2.a2.a2:KO-a7.a1.b1:KO-a7.a2.a7
VC1298	VC1298	KO-a3.a2.a1:KO-a4.a5.a1:KO-a7.a3.a5
VC1299	VC1299	KO-a1.a8.a8:KO-a7.a2.a7
VC1300	VC1300	KO-a1.a5.a2:KO-a1.a5.a3
VC1301	VC1301	KO-a7.a3.a1
VC1302	VC1302	None
VC1303	VC1303	KO-a1.a8.a8
VC1304	VC1304	KO-a1.a1.a2:KO-a1.a1.b0
VC1305	VC1305	None
VC1306	VC1306	KO-a8.a4.a2
VC1307	VC1307	None
VC1308	VC1308	KO-a7.a2.a1
VC1309	VC1309	KO-a7.a2.a6
VC1310	VC1310	None
VC1311	VC1311	KO-a7.a3.a1
alr	VC1312	KO-a1.a5.a2:KO-a1.a5.a3:KO-a1.a6.a6
VC1313	VC1313	KO-a3.a2.a1:KO-a4.a5.a1:KO-a7.a3.a5
VC1314	VC1314	KO-a7.a3.a1
VC1315	VC1315	None
VC1316	VC1316	KO-a3.a2.a1:KO-a4.a5.a1:KO-a7.a3.a4:KO-a7.a3.a5
VC1317	VC1317	KO-a8.a4.a2
VC1318	VC1318	KO-a7.a3.a1
VC1319	VC1319	KO-a3.a2.a1:KO-a7.a1.a2:KO-a7.a3.a4
VC1320	VC1320	KO-a3.a2.a1:KO-a7.a3.a4
VC1321	VC1321	None
VC1322	VC1322	KO-a8.a4.a2
VC1323	VC1323	None
VC1325	VC1325	KO-a3.a1.a1:KO-a4.a5.a1:KO-a7.a3.a1
VC1327	VC1327	KO-a3.a1.a1:KO-a7.a3.a1
mglC	VC1328	KO-a3.a1.a1:KO-a7.a3.a1
VC1329	VC1329	None
VC1330	VC1330	None
VC1332	VC1332	KO-a3.a2.a1:KO-a7.a3.a1
VC1333	VC1333	KO-a3.a2.a1:KO-a7.a3.a1
VC1334	VC1334	KO-a3.a2.a1:KO-a7.a3.a1
VC1335	VC1335	None
prpB	VC1336	KO-a1.a1.b2
VC1337	VC1337	KO-a1.a1.b2
VC1338	VC1338	KO-a1.a1.b2
VC1339	VC1339	KO-a1.a1.b2
VC1340	VC1340	KO-a1.a1.b2:KO-a7.a1.a8
VC1341	VC1341	None
VC1342	VC1342	None
VC1343	VC1343	KO-a7.a1.a4
VC1344	VC1344	KO-a1.a5.b1:KO-a1.a5.b2:KO-a1.a8.b2:KO-a7.a3.a7
VC1345	VC1345	KO-a1.a5.b1:KO-a1.b1.b0
VC1346	VC1346	KO-a1.a5.b1:KO-a1.b1.b0
VC1347	VC1347	KO-a1.a5.b1:KO-a1.b1.b0
VC1348	VC1348	KO-a8.a1.a1
VC1349	VC1349	None
VC1350	VC1350	KO-a1.a6.a7
VC1353	VC1353	None
VC1354	VC1354	KO-a7.a2.a6
VC1355	VC1355	KO-a1.a1.b0:KO-a1.b1.a2
VC1356	VC1356	KO-a2.a3.a5:KO-a7.a2.a7
VC1358	VC1358	KO-a7.a3.a1
VC1359	VC1359	KO-a3.a1.a1:KO-a7.a3.a1
VC1360	VC1360	KO-a3.a1.a1:KO-a7.a3.a1
VC1361	VC1361	KO-a3.a1.a1:KO-a7.a3.a1
VC1362	VC1362	KO-a3.a1.a1:KO-a7.a3.a1
VC1363	VC1363	KO-a1.a8.b1
VC1364	VC1364	None
VC1365	VC1365	KO-a1.a8.a8:KO-a7.a2.a7
VC1366	VC1366	KO-a1.a8.a8:KO-a7.a2.a7
VC1367	VC1367	None
VC1368	VC1368	None
VC1369	VC1369	None
VC1370	VC1370	None
VC1371	VC1371	None
VC1372	VC1372	None
VC1373	VC1373	None
VC1374	VC1374	None
VC1375	VC1375	None
VC1376	VC1376	KO-a4.a4.a2
VC1377	VC1377	None
VC1379	VC1379	None
VC1380	VC1380	None
VC1382	VC1382	KO-a8.a1.a1
VC1384	VC1384	None
VC1386	VC1386	KO-a7.a2.a9
lplA	VC1388	KO-a1.a8.a7
VC1389	VC1389	None
VC1390	VC1390	None
VC1391	VC1391	None
VC1392	VC1392	KO-a7.a2.b5
VC1393	VC1393	KO-a7.a3.a1
VC1394	VC1394	KO-a3.a2.a1:KO-a4.a5.a1:KO-a7.a3.a5
VC1395	VC1395	None
VC1396	VC1396	None
VC1397	VC1397	KO-a3.a2.a1:KO-a4.a5.a1:KO-a7.a1.a2:KO-a7.a3.a4:KO-a7.a3.a5
VC1398	VC1398	KO-a3.a2.a1:KO-a4.a5.a1:KO-a7.a3.a4:KO-a7.a3.a5
VC1399	VC1399	KO-a3.a2.a1:KO-a4.a5.a1:KO-a7.a3.a5
VC1400	VC1400	None
VC1401	VC1401	KO-a3.a2.a1:KO-a4.a5.a1:KO-a7.a3.a4:KO-a7.a3.a5
VC1402	VC1402	KO-a3.a2.a1:KO-a4.a5.a1:KO-a7.a3.a5
VC1403	VC1403	KO-a3.a2.a1:KO-a4.a5.a1:KO-a7.a3.a5
VC1405	VC1405	KO-a3.a2.a1:KO-a4.a5.a1:KO-a7.a3.a5
VC1406	VC1406	KO-a3.a2.a1:KO-a4.a5.a1:KO-a7.a3.a5
VC1407	VC1407	KO-a2.a3.a7:KO-a7.a2.a3
VC1408	VC1408	None
VC1409	VC1409	None
VC1410	VC1410	KO-a7.a3.a1
VC1411	VC1411	KO-a7.a3.a1
VC1413	VC1413	KO-a3.a2.a1:KO-a4.a5.a1:KO-a7.a3.a5
VC1414	VC1414	KO-a7.a1.a4
VC1415	VC1415	KO-a3.a1.a3:KO-a7.a3.a2
VC1416	VC1416	KO-a3.a1.a3:KO-a7.a3.a2
VC1417	VC1417	None
VC1418	VC1418	None
VC1419	VC1419	None
VC1420	VC1420	None
VC1421	VC1421	None
VC1422	VC1422	KO-a8.a3.a1
gly riboswitch	gly riboswitch	None
VC1422a	VC1422a	None
VC1423	VC1423	None
VC1424	VC1424	KO-a3.a1.a1:KO-a7.a3.a1
VC1425	VC1425	KO-a3.a1.a1:KO-a7.a3.a1
potC	VC1426	KO-a3.a1.a1:KO-a7.a3.a1
potB	VC1427	KO-a3.a1.a1:KO-a7.a3.a1
potA	VC1428	KO-a3.a1.a1:KO-a7.a3.a1
VC1429	VC1429	None
VC1430	VC1430	KO-a8.a4.a1
VC1431	VC1431	None
VC1432	VC1432	KO-a7.a2.a7
VC1433	VC1433	KO-a8.a3.a4
VC1434	VC1434	KO-a7.a2.a1
VC1435	VC1435	KO-a8.a4.a2
VC1436	VC1436	None
VC1437	VC1437	KO-a8.a1.a1
VC1438	VC1438	KO-a8.a4.a2
VC1439	VC1439	KO-a1.a2.a1:KO-a3.a2.a1
VC1440	VC1440	KO-a1.a2.a1:KO-a3.a2.a1
VC1441	VC1441	KO-a1.a2.a1:KO-a3.a2.a1
VC1442	VC1442	KO-a1.a2.a1:KO-a3.a2.a1
VC1443	VC1443	None
VC1444	VC1444	None
VC1445	VC1445	None
VC1446	VC1446	KO-a3.a2.a1:KO-a7.a3.a1:KO-a7.a3.a2
VC1447	VC1447	KO-a3.a2.a1:KO-a7.a3.a1:KO-a7.a3.a2
VC1448	VC1448	KO-a3.a2.a1:KO-a7.a3.a1:KO-a7.a3.a2
VC1449	VC1449	None
VC1450	VC1450	None
VC1451	VC1451	KO-a6.a4.a1:KO-a7.a3.a3
VC1452	VC1452	None
VC1453	VC1453	None
VC1454	VC1454	None
VC1455	VC1455	None
VC1456	VC1456	KO-a4.a4.a2:KO-a6.a4.a1:KO-a7.a3.a3
VC1457	VC1457	KO-a4.a4.a2:KO-a6.a4.a1:KO-a7.a3.a3
VC1458	VC1458	KO-a6.a4.a1:KO-a7.a3.a3
VC1459	VC1459	KO-a6.a4.a1:KO-a7.a3.a3
VC1460	VC1460	None
VC1461	VC1461	None
VC1462	VC1462	None
VC1463	VC1463	None
VC1464	VC1464	None
VC1465	VC1465	None
VC1466	VC1466	None
VC1467	VC1467	None
VC1468	VC1468	None
VC1469	VC1469	None
VC1470	VC1470	None
VC1471	VC1471	None
VC1472	VC1472	None
VC1473	VC1473	None
VC1474	VC1474	None
VC1475	VC1475	None
VC1476	VC1476	None
VC1477	VC1477	KO-a8.a2.a4
VC1478	VC1478	KO-a8.a2.a4
VC1479	VC1479	None
VC1480	VC1480	None
VC1481	VC1481	KO-a8.a4.a2
VC1482	VC1482	KO-a7.a1.a4
VC1483	VC1483	KO-a1.a3.a1:KO-a7.a1.a8
VC1484	VC1484	KO-a7.a2.a6
VC1485	VC1485	None
VC1486	VC1486	KO-a7.a3.a1
VC1487	VC1487	None
rlmL	VC1488	KO-a7.a2.a6
VC1490	VC1490	KO-a7.a2.b4
VC1491	VC1491	KO-a1.a4.a2
VC1492	VC1492	KO-a1.a2.a7:KO-a1.a5.a1:KO-a1.a5.a8:KO-a1.a6.a2
VC1493	VC1493	None
pepN	VC1494	KO-a1.a6.a7:KO-a7.a1.a4
VC1495	VC1495	None
VC1496	VC1496	KO-a7.a1.a4
VC1497	VC1497	KO-a8.a3.a4
VC1498	VC1498	KO-a1.a5.a3
VC1499	VC1499	KO-a7.a3.a1
VC1500	VC1500	KO-a8.a4.a1
VC1501	VC1501	None
yebU	VC1502	KO-a7.a2.a6
VC1503	VC1503	KO-a8.a4.a2
VC1505	VC1505	None
VC1506	VC1506	None
VC1507	VC1507	KO-a1.a5.b4:KO-a4.a4.a1
VC1508	VC1508	KO-a8.a3.a4
VC1509	VC1509	KO-a1.a8.a4
VC1510	VC1510	None
VC1511	VC1511	KO-a1.a1.b1:KO-a1.a2.a6
VC1512	VC1512	KO-a1.a1.b1:KO-a1.a2.a6
VC1513	VC1513	None
VC1514	VC1514	None
VC1515	VC1515	None
VC1516	VC1516	None
VC1517	VC1517	None
VC1518	VC1518	None
VC1519	VC1519	KO-a8.a1.a3
VC1520	VC1520	None
VC1521	VC1521	KO-a7.a1.a2:KO-a7.a3.a4
VC1522	VC1522	None
VC1523	VC1523	KO-a3.a1.a1:KO-a7.a3.a1
VC1524	VC1524	KO-a3.a1.a1:KO-a7.a3.a1
VC1525	VC1525	KO-a3.a1.a1:KO-a7.a3.a1
mobA	VC1526	KO-a1.a8.a8
VC1527	VC1527	KO-a1.a8.a8
VC1528	VC1528	None
VC1530	VC1530	None
VC1531	VC1531	None
VC1532	VC1532	KO-a1.a1.a9
VC1533	VC1533	KO-a8.a1.a1
VC1534	VC1534	None
VC1535	VC1535	None
VC1537	VC1537	KO-a7.a1.a4
VC1538	VC1538	None
VC1539	VC1539	None
VC1539a	VC1539a	None
VC1540	VC1540	KO-a7.a3.a1
VC1541	VC1541	None
VC1542	VC1542	KO-a2.a4.a1:KO-a2.a4.a2:KO-a2.a4.a3:KO-a2.a4.a4:KO-a7.a2.b3:KO-a7.a2.b5
VC1543	VC1543	None
VC1544	VC1544	KO-a7.a3.a1
VC1545	VC1545	KO-a7.a3.a1
VC1546	VC1546	KO-a7.a3.a1
VC1547	VC1547	KO-a7.a3.a1
VC1548	VC1548	None
VC1549	VC1549	KO-a3.a1.a1:KO-a7.a3.a1
VC1550	VC1550	KO-a3.a1.a1:KO-a7.a3.a1
VC1551	VC1551	KO-a3.a1.a1:KO-a7.a3.a1
ugpC	VC1552	KO-a3.a1.a1:KO-a7.a3.a1
VC1553	VC1553	KO-a7.a2.a1
VC1554	VC1554	KO-a1.a3.b0
VC1555	VC1555	KO-a7.a3.a8
VC1556	VC1556	None
VC1557	VC1557	KO-a7.a2.a1
VC1558	VC1558	KO-a1.a1.a1:KO-a1.a1.a8
VC1560	VC1560	KO-a1.a5.b2:KO-a1.a5.b3
VC1561	VC1561	None
VC1562	VC1562	None
VC1563	VC1563	KO-a8.a3.a5
VC1565	VC1565	None
VC1566	VC1566	KO-a7.a3.a1
VC1567	VC1567	KO-a7.a3.a1
VC1568	VC1568	KO-a7.a3.a1
VC1570	VC1570	KO-a1.a2.a1:KO-a3.a2.a1
VC1571	VC1571	KO-a1.a2.a1:KO-a3.a2.a1
VC1572	VC1572	None
fumC	VC1573	KO-a1.a1.a2:KO-a1.a1.b0
VC1574	VC1574	KO-a8.a4.a2
VC1575	VC1575	None
VC1576	VC1576	KO-a8.a1.a1
VC1577	VC1577	None
VC1578	VC1578	None
VC1579	VC1579	KO-a1.a9.c0:KO-a7.a1.a9
VC1580	VC1580	KO-a7.a2.a1
VC1581	VC1581	KO-a1.a2.a1
VC1582	VC1582	KO-a8.a4.a2
VC1583	VC1583	None
VC1584	VC1584	KO-a8.a4.a2
VC1585	VC1585	KO-a1.a1.b1:KO-a1.a5.b3
VC1587	VC1587	KO-a8.a4.a1
VC1588	VC1588	None
VC1589	VC1589	KO-a1.a1.b3:KO-a1.a1.b4
VC1590	VC1590	KO-a1.a1.b3:KO-a1.a1.b4:KO-a1.a5.a5:KO-a1.a8.a5
VC1591	VC1591	KO-a1.a1.b3
VC1592	VC1592	KO-a4.a4.a2
VC1593	VC1593	KO-a4.a4.a2
galM	VC1594	KO-a1.a1.a1:KO-a1.a1.a6
VC1595	VC1595	KO-a1.a1.a6:KO-a1.a1.a9:KO-a7.a3.a7
VC1596	VC1596	KO-a1.a1.a6:KO-a1.a1.a9
VC1597	VC1597	None
VC1598	VC1598	KO-a7.a3.a1
VC1599	VC1599	None
VC1600	VC1600	None
VC1601	VC1601	None
VC1602	VC1602	KO-a3.a2.a1:KO-a4.a5.a1:KO-a7.a3.a4:KO-a7.a3.a5
VC1603	VC1603	None
VC1604	VC1604	KO-a7.a3.a4
VC1605	VC1605	KO-a7.a1.a2:KO-a7.a3.a4
VC1605a	VC1605a	None
VC1606	VC1606	None
VC1607	VC1607	KO-a8.a3.a5
VC1608	VC1608	KO-a7.a3.a1
VC1609	VC1609	KO-a7.a3.a1
VC1610	VC1610	None
VC1611	VC1611	KO-a1.a2.a8:KO-a1.a5.a3
VC1612	VC1612	KO-a7.a3.a2:KO-a7.a3.a5
VC1613	VC1613	None
VC1614	VC1614	KO-a7.a2.a6
VC1615	VC1615	KO-a8.a1.a1
VC1616	VC1616	None
VC1617	VC1617	None
VC1618	VC1618	KO-a7.a3.a1
VC1619	VC1619	KO-a8.a4.a2
VC1620	VC1620	None
VC1621	VC1621	KO-a7.a3.a1:KO-a7.a3.a2
VC1622	VC1622	None
VC1623	VC1623	KO-a1.a5.a9
VC1624	VC1624	KO-a1.a5.a9
VC1625	VC1625	None
nhaA	VC1627	KO-a7.a3.a1
VC1628	VC1628	None
VC1629	VC1629	KO-a7.a3.a1
VC1630	VC1630	KO-a7.a3.a1
VC1631	VC1631	None
VC1632	VC1632	None
VC1633	VC1633	None
VC1634	VC1634	KO-a7.a3.a1
VC1635	VC1635	KO-a7.a2.a6
VC1636	VC1636	KO-a7.a2.b5
VC1637	VC1637	None
VC1638	VC1638	KO-a7.a3.a4
VC1639	VC1639	None
VC1640	VC1640	KO-a2.a2.a1:KO-a7.a2.a5
VC1641	VC1641	None
VC1642	VC1642	None
VC1643	VC1643	KO-a3.a2.a1:KO-a4.a5.a1:KO-a7.a3.a5
VC1644	VC1644	None
VC1645	VC1645	KO-a8.a4.a1
VC1646	VC1646	None
VC1647	VC1647	None
VC1649	VC1649	None
VC1650	VC1650	KO-a7.a1.a4:KO-a7.a3.a3
VC1651	VC1651	None
VC1652	VC1652	KO-a4.a4.a2
VC1653	VC1653	KO-a3.a2.a1:KO-a7.a1.a2:KO-a7.a3.a4
ykoK riboswitch	ykoK riboswitch	None
VC1655	VC1655	KO-a7.a3.a1
VC1656	VC1656	None
VC1658	VC1658	KO-a7.a3.a1
VC1659	VC1659	KO-a8.a3.a5
VC1660a	VC1660a	None
VC1660	VC1660	None
VC1661	VC1661	None
VC1662	VC1662	KO-a8.a4.a2
VC1663	VC1663	KO-a8.a2.a3
VC1664	VC1664	KO-a7.a3.a1
VC1665	VC1665	KO-a7.a3.a1
VC1666	VC1666	KO-a7.a3.a1
VC1667	VC1667	None
VC1668	VC1668	KO-a7.a2.a6:KO-a7.a2.a7
VC1669	VC1669	KO-a8.a3.a1
cls	VC1670	KO-a1.a3.b0
VC1671	VC1671	KO-a1.a5.a3:KO-a1.a6.a4
VC1672	VC1672	KO-a2.a4.a2:KO-a7.a2.b5
VC1673	VC1673	None
VC1674	VC1674	None
VC1675	VC1675	None
VC1676	VC1676	KO-a7.a2.a1:KO-a7.a3.a8
pspB	VC1677	KO-a7.a3.a8
VC1678	VC1678	KO-a8.a2.a5
VC1679	VC1679	KO-a7.a2.a1
VC1680	VC1680	KO-a3.a1.a1:KO-a6.b1.a3:KO-a7.a3.a1
VC1681	VC1681	KO-a3.a1.a1:KO-a6.b1.a3:KO-a7.a3.a1
VC1682	VC1682	KO-a3.a1.a1:KO-a6.b1.a3:KO-a7.a3.a1
VC1683	VC1683	KO-a3.a1.a1:KO-a6.b1.a3:KO-a7.a3.a1
VC1684	VC1684	KO-a3.a1.a1:KO-a6.b1.a3:KO-a7.a3.a1
VC1685	VC1685	None
VC1686	VC1686	None
VC1687	VC1687	KO-a1.a2.a1
VC1688	VC1688	None
VC1689	VC1689	None
VC1692	VC1692	KO-a1.a2.a6:KO-a3.a2.a1:KO-a7.a3.a1
VC1693	VC1693	KO-a1.a2.a6:KO-a3.a2.a1:KO-a7.a3.a1
VC1694	VC1694	KO-a8.a1.a3
VC1695	VC1695	KO-a7.a3.a1
VC1696	VC1696	None
VC1697	VC1697	None
VC1698	VC1698	None
VC1699	VC1699	None
VC1700	VC1700	KO-a8.a3.a2
VC1701	VC1701	KO-a1.a3.b6:KO-a7.a1.a8
VC1702	VC1702	KO-a8.a4.a2
VC1703	VC1703	None
VC1704	VC1704	KO-a1.a5.a3:KO-a1.a6.a4
VC1706	VC1706	KO-a7.a2.a1
VC1707	VC1707	None
VC1708	VC1708	None
VC1709	VC1709	KO-a7.a1.a4
VC1710	VC1710	None
VC1711	VC1711	None
VC1712	VC1712	None
VC1713	VC1713	None
mukB	VC1714	KO-a7.a2.b4
VC1715	VC1715	KO-a7.a2.b4
VC1716	VC1716	KO-a7.a2.b4
VC1717	VC1717	KO-a8.a1.a9
VC1718	VC1718	None
VC1719	VC1719	KO-a3.a2.a1:KO-a7.a3.a4
torD	VC1720	KO-a1.a2.a6:KO-a3.a2.a1:KO-a7.a2.a9:KO-a7.a3.a1
VC1721	VC1721	KO-a7.a2.a1
cdiGMP riboswitch	cdiGMP riboswitch	None
VC1722	VC1722	KO-a8.a3.a3
VC1723	VC1723	None
VC1724	VC1724	None
VC1725	VC1725	None
glgA	VC1726	KO-a1.a1.a8:KO-a7.a1.a5
glgC	VC1727	KO-a1.a1.a8:KO-a1.a1.a9
VC1730	VC1730	KO-a7.a2.b3:KO-a7.a2.b5
VC1731	VC1731	None
VC1732	VC1732	KO-a1.a5.b4
VC1733	VC1733	None
aat	VC1735	KO-a8.a1.a1
VC1736	VC1736	KO-a8.a1.a1
infA	VC1737	KO-a7.a2.a8
VC1738	VC1738	None
VC1740	VC1740	None
VC1741	VC1741	None
VC1743	VC1743	None
VC1744	VC1744	None
VC1745	VC1745	KO-a1.a1.b3:KO-a1.a5.a1:KO-a1.a5.a7:KO-a1.a5.b1:KO-a1.a8.a4
VC1746	VC1746	KO-a7.a2.a1
VC1748	VC1748	None
VC1749	VC1749	None
VC1750	VC1750	None
VC1751	VC1751	KO-a7.a3.a1
VC1753	VC1753	KO-a8.a4.a1
VC1754	VC1754	KO-a8.a4.a1
VC1755	VC1755	KO-a8.a4.a2
VC1756	VC1756	KO-a7.a3.a1:KO-a7.a3.b8
VC1757	VC1757	None
VC1758	VC1758	None
VC1759	VC1759	None
VC1760	VC1760	None
VC1762	VC1762	None
VC1763	VC1763	None
VC1764	VC1764	None
VC1765	VC1765	KO-a7.a3.a8
VC1766	VC1766	None
VC1767	VC1767	None
VC1768	VC1768	KO-a7.a3.a8
VC1769	VC1769	KO-a7.a3.a8
VC1770	VC1770	None
VC1771	VC1771	None
VC1772	VC1772	None
VC1773	VC1773	None
VC1774	VC1774	KO-a8.a1.a1
VC1775	VC1775	None
VC1776	VC1776	KO-a1.a1.a9
VC1777	VC1777	None
VC1778	VC1778	None
VC1779	VC1779	None
VC1780	VC1780	None
VC1781	VC1781	KO-a1.a1.a9
VC1782	VC1782	KO-a1.a1.a9
VC1783	VC1783	KO-a1.a1.a9
